Data_Category,Record_ID,Primary_Entity,Date_Field,Amount,Status,Type,Method,Score,Location
Booking_Revenue,11,William Anderson,2025-11-20 00:00:00.000,1861.96,Confirmed,Deluxe,CreditCard,5,Room 107
Booking_Revenue,10,Patricia Martinez,2025-11-15 00:00:00.000,176.48,Confirmed,Single,Cash,4,Room 102
Booking_Revenue,12,Jennifer Taylor,2025-11-12 00:00:00.000,247.98,Confirmed,Double,Online,4,Room 201
Booking_Revenue,6,Maria Garcia,2025-11-10 00:00:00.000,176.48,Confirmed,Single,UPI,5,Room 109
Booking_Revenue,7,James Miller,2025-11-08 00:00:00.000,419.98,Confirmed,Double,CreditCard,4,Room 201
Booking_Revenue,2,Emily Johnson,2025-11-06 00:00:00.000,519.96,Confirmed,Double,CreditCard,3,Room 103
Booking_Revenue,1,John Smith,2025-11-05 00:00:00.000,268.97,Confirmed,Single,Online,5,Room 101
Booking_Revenue,9,Robert Rodriguez,2025-11-04 00:00:00.000,373.97,Confirmed,Double,DebitCard,5,Room 103
Booking_Revenue,5,David Jones,2025-11-02 00:00:00.000,1589.97,CheckedIn,Deluxe,Cash,4,Room 110
Booking_Revenue,3,Michael Williams,2025-11-01 00:00:00.000,1124.96,CheckedIn,Suite,DebitCard,5,Room 106
Booking_Revenue,4,Sarah Brown,2025-10-28 00:00:00.000,506.96,CheckedOut,Double,CreditCard,5,Room 104
Booking_Revenue,8,Linda Davis,2025-10-25 00:00:00.000,937.46,CheckedOut,Suite,CreditCard,4,Room 105
Maintenance,12,Daniel White,2025-11-08 00:00:00.000,0.00,Pending,Critical,High Risk,18,Room 101
Maintenance,10,Jack Hall,2025-11-07 00:00:00.000,0.00,Pending,Medium,Low Risk,19,Room 102
Maintenance,11,Daniel White,2025-11-07 00:00:00.000,0.00,Pending,Medium,Low Risk,19,Room 202
Maintenance,8,Daniel White,2025-11-06 00:00:00.000,0.00,Pending,Low,Low Risk,20,Room 103
Maintenance,9,Daniel White,2025-11-06 00:00:00.000,0.00,Pending,Low,Low Risk,20,Room 109
Maintenance,6,Jack Hall,2025-11-05 00:00:00.000,5249.79,Pending,High,Medium Risk,21,Room 105
Maintenance,7,Daniel White,2025-11-05 00:00:00.000,0.00,InProgress,Medium,Low Risk,21,Room 107
Maintenance,5,Daniel White,2025-11-04 00:00:00.000,0.00,Pending,Medium,Low Risk,22,Room 110
Maintenance,4,Daniel White,2025-11-03 00:00:00.000,0.00,Completed,Low,Low Risk,0,Room 106
Maintenance,3,Daniel White,2025-11-02 00:00:00.000,0.00,Completed,Low,Low Risk,0,Room 201
Maintenance,1,Daniel White,2025-11-01 00:00:00.000,3249.75,InProgress,High,Medium Risk,25,Room 108
Maintenance,2,Daniel White,2025-10-30 00:00:00.000,0.00,Completed,Medium,Low Risk,1,Room 104
Restaurant,12,Patricia Martinez,2025-11-15 19:00:00.000,68.00,Hotel Guest,Dinner,Restaurant,0,Restaurant
Restaurant,9,Maria Garcia,2025-11-10 20:15:00.000,112.50,Hotel Guest,Dinner,Restaurant,0,Restaurant
Restaurant,10,James Miller,2025-11-08 19:30:00.000,95.00,Hotel Guest,Dinner,Restaurant,0,Restaurant
Restaurant,8,Emily Johnson,2025-11-06 19:45:00.000,89.00,Hotel Guest,Dinner,Restaurant,3,Restaurant
Restaurant,7,John Smith,2025-11-05 18:30:00.000,73.50,Hotel Guest,Dinner,Restaurant,3,Restaurant
Restaurant,11,Robert Rodriguez,2025-11-05 18:00:00.000,78.50,Hotel Guest,Dinner,Restaurant,0,Restaurant
Restaurant,5,David Jones,2025-11-03 20:30:00.000,98.50,Hotel Guest,Dinner,Restaurant,3,Restaurant
Restaurant,2,Michael Williams,2025-11-02 20:00:00.000,92.00,Hotel Guest,Dinner,Restaurant,4,Restaurant
Restaurant,4,David Jones,2025-11-02 19:15:00.000,124.00,Hotel Guest,Dinner,Restaurant,2,Restaurant
Restaurant,1,Michael Williams,2025-11-01 19:30:00.000,85.50,Hotel Guest,Dinner,Restaurant,3,Restaurant
Restaurant,3,Sarah Brown,2025-10-28 18:45:00.000,67.50,Hotel Guest,Dinner,Restaurant,4,Restaurant
Restaurant,6,Linda Davis,2025-10-26 19:00:00.000,156.00,Hotel Guest,Dinner,Restaurant,2,Restaurant
Service_Usage,1,Spa Treatment,2025-11-26 15:29:14.760,360.00,Medium Performer,Wellness,Service,1,Hotel Services
Service_Usage,7,Breakfast Buffet,2025-11-26 15:29:14.760,225.00,Medium Performer,Food & Beverage,Service,2,Hotel Services
Service_Usage,8,Parking,2025-11-26 15:29:14.760,120.00,Low Performer,Parking,Service,3,Hotel Services
Service_Usage,11,Pet Care,2025-11-26 15:29:14.760,90.00,Low Performer,Pet Services,Service,4,Hotel Services
Service_Usage,4,Airport Shuttle,2025-11-26 15:29:14.760,50.00,Low Performer,Transportation,Service,5,Hotel Services
Service_Usage,9,Wi-Fi Premium,2025-11-26 15:29:14.760,45.00,Low Performer,Technology,Service,6,Hotel Services
Service_Usage,10,Late Checkout,2025-11-26 15:29:14.760,40.00,Low Performer,Room Service,Service,7,Hotel Services
Service_Usage,6,Mini Bar,2025-11-26 15:29:14.760,35.00,Low Performer,Room Service,Service,8,Hotel Services
Service_Usage,3,Room Service,2025-11-26 15:29:14.760,30.00,Low Performer,Food & Beverage,Service,9,Hotel Services
Service_Usage,2,Laundry Service,2025-11-26 15:29:14.760,25.00,Low Performer,Room Service,Service,10,Hotel Services
Service_Usage,5,Gym Access,2025-11-26 15:29:14.760,0.00,Low Performer,Fitness,Service,11,Hotel Services
Service_Usage,12,Conference Room,2025-11-26 15:29:14.760,0.00,Low Performer,Business,Service,11,Hotel Services
Staff_Performance,1,Alice Thompson,2025-11-26 15:29:14.760,0.00,Active,Manager,N/A,0,Staff Area
Staff_Performance,2,Bob Wilson,2025-11-26 15:29:14.760,16.00,Active,Receptionist,N/A,0,Staff Area
Staff_Performance,3,Carol Moore,2025-11-26 15:29:14.760,0.00,Active,Housekeeper,N/A,100,Staff Area
Staff_Performance,4,Daniel White,2025-11-26 15:29:14.760,0.00,Active,Maintenance,N/A,0,Staff Area
Staff_Performance,5,Emma Harris,2025-11-26 15:29:14.760,8.00,Active,Chef,N/A,0,Staff Area
Staff_Performance,6,Frank Martin,2025-11-26 15:29:14.760,24.00,Active,Waiter,N/A,0,Staff Area
Staff_Performance,7,Grace Jackson,2025-11-26 15:29:14.760,0.00,Active,Housekeeper,N/A,66.66666666666667,Staff Area
Staff_Performance,8,Henry Lee,2025-11-26 15:29:14.760,0.00,Active,Bellboy,N/A,0,Staff Area
Staff_Performance,9,Iris Walker,2025-11-26 15:29:14.760,16.00,Active,Receptionist,N/A,0,Staff Area
Staff_Performance,10,Jack Hall,2025-11-26 15:29:14.760,0.00,OnLeave,Maintenance,N/A,0,Staff Area
Staff_Performance,11,Karen Allen,2025-11-26 15:29:14.760,0.00,Active,Spa Therapist,N/A,0,Staff Area
Staff_Performance,12,Leo Young,2025-11-26 15:29:14.760,32.00,Active,Security,N/A,0,Staff Area
